survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,fare_per_age
0,3,male,22.0,1,0,7.25,S,Third,man,True,C,Southampton,no,False,0.32954545454545453
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,1.8758763157894736
1,3,female,26.0,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True,0.3048076923076923
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,1.5171428571428571
0,3,male,35.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,0.23
0,3,male,28.0,0,0,8.4583,Q,Third,man,True,C,Queenstown,no,True,2.4542053009493117
0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,0.9604166666666666
0,3,male,2.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False,10.5375
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,C,Southampton,yes,False,0.41234444444444446
1,2,female,14.0,1,0,30.0708,C,Second,child,False,C,Cherbourg,yes,False,2.1479142857142857
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,4.175
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,0.45775862068965517
0,3,male,20.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,0.4025
0,3,male,39.0,1,5,31.275,S,Third,man,True,C,Southampton,no,False,0.8019230769230768
0,3,female,14.0,0,0,7.8542,S,Third,child,False,C,Southampton,no,True,0.5610142857142857
1,2,female,55.0,0,0,16.0,S,Second,woman,False,C,Southampton,yes,True,0.2909090909090909
0,3,male,2.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,14.5625
1,2,male,28.0,0,0,13.0,S,Second,man,True,C,Southampton,yes,True,2.4542053009493117
0,3,female,31.0,1,0,18.0,S,Third,woman,False,C,Southampton,no,False,0.5806451612903226
1,3,female,28.0,0,0,7.225,C,Third,woman,False,C,Cherbourg,yes,True,2.4542053009493117
0,2,male,35.0,0,0,26.0,S,Second,man,True,C,Southampton,no,True,0.7428571428571429
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,0.38235294117647056
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,C,Queenstown,yes,True,0.53528
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,1.2678571428571428
0,3,female,8.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False,2.634375
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,C,Southampton,yes,False,0.8259868421052632
0,3,male,28.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,2.4542053009493117
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,13.842105263157896
1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,2.4542053009493117
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,2.4542053009493117
0,1,male,40.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,0.69302
1,1,female,28.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,2.4542053009493117
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,2.4542053009493117
0,2,male,66.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,0.1590909090909091
0,1,male,28.0,1,0,82.1708,C,First,man,True,C,Cherbourg,no,False,2.9346714285714284
0,1,male,42.0,1,0,52.0,S,First,man,True,C,Southampton,no,False,1.2380952380952381
1,3,male,28.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,yes,True,2.4542053009493117
0,3,male,21.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,0.38333333333333336
0,3,female,18.0,2,0,18.0,S,Third,woman,False,C,Southampton,no,False,1.0
1,3,female,14.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False,0.8029785714285714
0,3,female,40.0,1,0,9.475,S,Third,woman,False,C,Southampton,no,False,0.236875
0,2,female,27.0,1,0,21.0,S,Second,woman,False,C,Southampton,no,False,0.7777777777777778
0,3,male,28.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True,2.4542053009493117
1,2,female,3.0,1,2,41.5792,C,Second,child,False,C,Cherbourg,yes,False,13.859733333333333
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,0.4146947368421053
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,2.4542053009493117
0,3,male,28.0,1,0,15.5,Q,Third,man,True,C,Queenstown,no,False,2.4542053009493117
0,3,male,28.0,2,0,21.6792,C,Third,man,True,C,Cherbourg,no,False,2.4542053009493117
0,3,female,18.0,1,0,17.8,S,Third,woman,False,C,Southampton,no,False,0.9888888888888889
0,3,male,7.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False,5.669642857142857
0,3,male,21.0,0,0,7.8,S,Third,man,True,C,Southampton,no,True,0.37142857142857144
1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,1.5659020408163267
1,2,female,29.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False,0.896551724137931
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,0.9535261538461538
1,1,male,28.0,0,0,35.5,S,First,man,True,C,Southampton,yes,True,2.4542053009493117
1,2,female,21.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True,0.5
0,3,male,28.5,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,0.2536561403508772
1,2,female,5.0,1,2,27.75,S,Second,child,False,C,Southampton,yes,False,5.55
0,3,male,11.0,5,2,46.9,S,Third,child,False,C,Southampton,no,False,4.263636363636364
0,3,male,22.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,0.3286
1,1,female,38.0,0,0,80.0,S,First,woman,False,B,Southampton,yes,True,2.1052631578947367
0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,1.855
0,3,male,4.0,3,2,27.9,S,Third,child,False,C,Southampton,no,False,6.975
0,1,male,28.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,2.4542053009493117
1,3,male,28.0,1,1,15.2458,C,Third,man,True,C,Cherbourg,yes,False,2.4542053009493117
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,0.3620689655172414
0,3,male,19.0,0,0,8.1583,S,Third,man,True,C,Southampton,no,True,0.4293842105263158
1,3,female,17.0,4,2,7.925,S,Third,woman,False,C,Southampton,yes,False,0.4661764705882353
0,3,male,26.0,2,0,8.6625,S,Third,man,True,C,Southampton,no,False,0.3331730769230769
0,2,male,32.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,0.328125
0,3,female,16.0,5,2,46.9,S,Third,woman,False,C,Southampton,no,False,2.93125
0,2,male,21.0,0,0,73.5,S,Second,man,True,C,Southampton,no,True,3.5
0,3,male,26.0,1,0,14.4542,C,Third,man,True,C,Cherbourg,no,False,0.5559307692307692
1,3,male,32.0,0,0,56.4958,S,Third,man,True,C,Southampton,yes,True,1.76549375
0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,0.306
1,2,male,0.83,0,2,29.0,S,Second,child,False,C,Southampton,yes,False,34.93975903614458
1,3,female,30.0,0,0,12.475,S,Third,woman,False,C,Southampton,yes,True,0.41583333333333333
0,3,male,22.0,0,0,9.0,S,Third,man,True,C,Southampton,no,True,0.4090909090909091
1,3,male,29.0,0,0,9.5,S,Third,man,True,C,Southampton,yes,True,0.3275862068965517
1,3,female,28.0,0,0,7.7875,Q,Third,woman,False,C,Queenstown,yes,True,2.4542053009493117
0,1,male,28.0,0,0,47.1,S,First,man,True,C,Southampton,no,True,1.6821428571428572
1,2,female,17.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True,0.6176470588235294
1,3,female,33.0,3,0,15.85,S,Third,woman,False,C,Southampton,yes,False,0.4803030303030303
0,3,male,16.0,1,3,34.375,S,Third,man,True,C,Southampton,no,False,2.1484375
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,11.434782608695652
0,3,male,24.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,0.3354166666666667
0,3,male,29.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,0.2775862068965517
0,3,male,20.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True,0.39271
